Frame,Type,Severity,Time
1,Pothole,8,06:53:51
1,Pothole,8,06:53:51
2,Pothole,8,06:53:51
21,Pothole,8,06:53:52
21,Pothole,8,06:53:52
21,Pothole,8,06:53:52
22,Pothole,8,06:53:52
22,Pothole,8,06:53:52
22,Pothole,8,06:53:52
23,Pothole,8,06:53:52
23,Pothole,8,06:53:52
23,Pothole,8,06:53:52
24,Pothole,8,06:53:52
24,Pothole,8,06:53:52
25,Pothole,8,06:53:52
25,Pothole,8,06:53:52
26,Pothole,8,06:53:52
26,Pothole,8,06:53:52
27,Pothole,8,06:53:53
27,Pothole,8,06:53:53
28,Pothole,8,06:53:53
28,Pothole,8,06:53:53
28,Pothole,8,06:53:53
29,Pothole,8,06:53:53
29,Pothole,8,06:53:53
30,Pothole,8,06:53:53
30,Pothole,8,06:53:53
31,Pothole,8,06:53:53
31,Pothole,8,06:53:53
32,Pothole,8,06:53:53
33,Pothole,8,06:53:53
34,Pothole,8,06:53:53
35,Pothole,8,06:53:53
36,Pothole,8,06:53:53
37,Pothole,8,06:53:53
37,Pothole,8,06:53:53
38,Pothole,8,06:53:53
38,Pothole,8,06:53:53
39,Pothole,8,06:53:53
39,Pothole,8,06:53:53
40,Pothole,8,06:53:53
41,Pothole,8,06:53:54
41,Pothole,8,06:53:54
42,Pothole,8,06:53:54
43,Pothole,8,06:53:54
44,Pothole,8,06:53:54
44,Pothole,8,06:53:54
45,Pothole,8,06:53:54
53,Pothole,8,06:53:54
54,Pothole,8,06:53:55
55,Pothole,8,06:53:55
56,Pothole,8,06:53:55
57,Pothole,8,06:53:55
58,Pothole,8,06:53:55
59,Pothole,8,06:53:55
73,Pothole,8,06:53:56
74,Pothole,8,06:53:56
75,Pothole,8,06:53:56
76,Pothole,8,06:53:56
77,Pothole,8,06:53:56
78,Pothole,8,06:53:56
79,Pothole,8,06:53:56
79,Pothole,8,06:53:56
80,Pothole,8,06:53:56
80,Pothole,8,06:53:56
81,Pothole,8,06:53:57
81,Pothole,8,06:53:57
82,Pothole,8,06:53:57
82,Pothole,8,06:53:57
83,Pothole,8,06:53:57
84,Pothole,8,06:53:57
85,Pothole,8,06:53:57
85,Pothole,8,06:53:57
86,Pothole,8,06:53:57
87,Pothole,8,06:53:57
88,Pothole,8,06:53:57
88,Pothole,8,06:53:57
88,Pothole,8,06:53:57
88,Pothole,8,06:53:57
89,Pothole,8,06:53:57
89,Pothole,8,06:53:57
90,Pothole,8,06:53:57
90,Pothole,8,06:53:57
90,Pothole,8,06:53:57
91,Pothole,8,06:53:57
92,Pothole,8,06:53:57
92,Pothole,8,06:53:57
93,Pothole,8,06:53:57
94,Pothole,8,06:53:58
94,Pothole,8,06:53:58
95,Pothole,8,06:53:58
95,Pothole,8,06:53:58
96,Pothole,8,06:53:58
96,Pothole,8,06:53:58
97,Pothole,8,06:53:58
97,Pothole,8,06:53:58
98,Pothole,8,06:53:58
98,Pothole,8,06:53:58
99,Pothole,8,06:53:58
99,Pothole,8,06:53:58
100,Pothole,8,06:53:58
101,Pothole,8,06:53:58
102,Pothole,8,06:53:58
103,Pothole,8,06:53:58
104,Pothole,8,06:53:58
105,Pothole,8,06:53:58
117,Pothole,8,06:53:59
118,Pothole,8,06:53:59
119,Pothole,8,06:53:59
120,Pothole,8,06:54:00
121,Pothole,8,06:54:00
122,Pothole,8,06:54:00
123,Pothole,8,06:54:00
124,Pothole,8,06:54:00
125,Pothole,8,06:54:00
126,Pothole,8,06:54:00
127,Pothole,8,06:54:00
